Rank,Player (Bye),POS,Yahoo,Sleeper,RTSports,AVG,Real-Time
319,Tennessee Titans DST   (9),DST27,,289,293,291.0,254  +65
320,Najee Harris   LAC (7),RB86,,285,309,297.0,
321,Matt Gay   LV (13),K21,,286,,286.0,
322,Alexander Mattison,RB87,,,286,286.0,
323,Jahan Dotson   ATL (11),WR109,,,288,288.0,
324,Riley Patterson   MIA (6),K22,,288,,288.0,
325,Jerome Ford   WAS (7),RB88,,,289,289.0,
326,Charlie Smyth   NO (8),K23,,290,,290.0,
327,Devin Neal   NO (8),RB89,,291,,291.0,
328,Skyler Bell   BUF (7),WR110,,,291,291.0,
329,Brenen Thompson   LAC (7),WR111,,,292,292.0,
330,Arizona Cardinals DST   (14),DST28,,293,,293.0,
331,Las Vegas Raiders DST   (13),DST29,,294,,294.0,
332,New York Jets DST   (13),DST30,,295,,295.0,
333,Ollie Gordon II   MIA (6),RB90,,,295,295.0,243  +90
334,Miami Dolphins DST   (6),DST31,,297,,297.0,
335,DJ Giddens   IND (13),RB91,,,298,298.0,
336,Tyquan Thornton   KC (5),WR112,,,299,299.0,
337,Chris Brooks   GB (11),RB92,,,304,304.0,
338,Eli Raridon   NE (11),TE42,,,307,307.0,
339,Adam Randall   BAL (13),RB93,,,310,310.0,
340,Emari Demercado   KC (5),RB94,,,311,311.0,
341,Isaiah Davis   NYJ (13),RB95,,,312,312.0,
342,Seth McGowan   IND (13),RB96,,,313,313.0,
